# NEST version: 3.7.0
# RecordingBackendASCII version: 2
sender	time_ms
147	516.900
509	516.700
538	516.900
721	516.800
733	516.900
225	517.400
232	517.200
411	517.100
458	517.300
482	517.500
648	517.200
657	517.100
674	517.100
538	550.900
147	551.800
232	551.600
411	552.000
509	551.500
657	551.900
674	551.200
721	551.400
733	551.300
225	552.300
458	552.100
482	552.400
648	552.200
232	586.000
538	585.900
721	585.600
147	586.500
225	586.900
411	586.100
458	586.800
482	586.900
509	586.500
648	587.000
657	586.500
674	586.200
733	586.200
147	620.800
232	621.000
411	620.800
538	620.900
674	620.800
721	620.400
733	620.900
225	621.300
458	621.700
482	621.600
509	621.200
648	621.500
657	621.400
147	655.100
225	655.800
232	655.600
411	655.600
509	656.000
538	655.700
657	656.000
674	655.500
721	655.100
733	655.300
458	656.500
482	656.500
648	656.400
147	689.800
721	689.700
225	690.600
232	690.200
411	690.300
458	690.700
509	691.000
538	690.400
657	690.500
674	690.300
733	690.100
482	691.300
648	691.200
